Period,OTP,Ctl OTP,TTL FLT,DLY FLT,DLY PAX,DLY Cnt,AF,AG,AT,AX,GB,CD,TC,AZ,FZ,MX,RA,GF,TN,TZ,FL,RL,PS,PW,PL,RZ,PH,SG,PB,DG,EZ,FR,WZ,PZ,GZ,FF,WG,AE,GD,AS,AM,CI,DF,WO,PD,GT,TD
2023W01,87.13,100.0,101,13,2243,27,10,2.0,12,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W02,76.85,99.07,108,25,4728,53,17,12.0,22,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W03,77.5,100.0,120,27,5067,55,24,2.0,23,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W04,75.0,100.0,124,31,6252,56,24,1.0,18,,,,,,1.0,2.0,6.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W05,83.33,100.0,126,21,4415,37,13,,14,,,,,,3.0,,5.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023W06,75.59,100.0,127,31,5386,54,19,,19,,,,,,6.0,,7.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2023W07,74.19,100.0,124,32,5230,45,26,,12,,,,,,1.0,,3.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023W08,76.38,100.0,127,30,6471,67,24,,26,,,,,,5.0,1.0,4.0,1.0,2.0,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
2023W09,77.52,99.22,129,29,4415,62,24,,24,,1.0,,1.0,,2.0,1.0,4.0,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
2023W10,90.7,99.22,129,12,2084,20,8,,6,,,,1.0,,1.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023W11,79.84,100.0,129,26,4798,38,21,,11,,,,,,,2.0,1.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
2023W12,75.38,100.0,130,32,6080,70,23,,27,,1.0,,,,2.0,,6.0,,1.0,3.0,,,,,,,,3.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2023W13,62.4,100.0,125,47,9404,70,39,,21,,1.0,,,,,,6.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
2023W14,81.82,100.0,132,24,3997,45,24,,20,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W15,68.22,100.0,129,41,6788,59,35,,16,,,,,,,,7.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023W16,64.89,100.0,131,46,7423,55,42,,8,,,,,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W17,76.81,100.0,138,32,5979,43,29,,11,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W18,83.77,100.0,154,25,3577,37,21,,9,,1.0,,,,,,2.0,,,1.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,
2023W19,74.68,100.0,158,40,8006,65,35,,21,,,,,,,,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
2023W20,77.56,100.0,156,35,6126,58,29,1.0,20,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,5.0,,,,,,,,,,
2023W21,77.42,100.0,155,35,6420,48,28,,15,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
2023W22,79.35,100.0,155,32,5363,47,26,,13,,,,,1.0,,,1.0,3.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,
2023W23,74.21,100.0,159,41,7433,64,32,,15,,,,,1.0,,,7.0,,1.0,,,,,,,,,7.0,1.0,,,,,,,,,,,,,,,,,,
2023W24,79.49,100.0,156,32,6667,55,25,2.0,19,,1.0,,,,1.0,,2.0,1.0,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,
2023W25,77.42,100.0,155,35,7090,71,29,1.0,24,,2.0,,,,2.0,,3.0,2.0,,,,,,1.0,,,1.0,6.0,,,,,,,,,,,,,,,,,,,
2023W26,84.81,100.0,158,24,5155,41,17,,12,,1.0,,,,,,4.0,1.0,,,,,,,,,,5.0,,,,,,,,,,,1.0,,,,,,,,
2023W27,70.89,100.0,158,46,8187,85,36,,25,,4.0,,,,1.0,,6.0,1.0,,1.0,,,,,,,2.0,7.0,,,,1.0,,,,,,,,1.0,,,,,,,
2023W28,89.17,100.0,157,17,2964,29,15,,10,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
2023W29,79.5,100.0,161,33,5440,49,18,,14,,,,,,,,1.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,13.0,,,,,,
2023W30,83.54,100.0,164,27,6141,54,15,,19,,1.0,,,,5.0,,1.0,1.0,,1.0,,2.0,1.0,1.0,,,,2.0,,,,,,,,,,,,3.0,1.0,1.0,,,,,
2023W31,82.39,100.0,159,28,5402,40,16,,12,,,,,,1.0,1.0,2.0,2.0,,,,1.0,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,
2023W32,91.19,100.0,159,14,2722,25,8,,6,,1.0,,,,,,3.0,,,,,1.0,,,,1.0,,2.0,,,,,,,,,1.0,,,2.0,,,,,,,
2023W33,79.52,100.0,166,34,6545,63,24,,25,,,,,,,,4.0,1.0,,,,,,,,,,2.0,,,1.0,,,,,,5.0,,,1.0,,,,,,,
2023W34,97.59,100.0,166,4,666,6,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W35,91.3,100.0,161,14,2701,23,8,,12,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
2023W36,84.66,100.0,163,25,4195,44,22,,17,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,
2023W37,89.31,100.0,159,17,3472,27,10,,14,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,
2023W38,90.57,100.0,159,15,2837,24,14,,6,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,
2023W39,94.9,100.0,157,8,1537,12,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W40,79.25,100.0,159,33,6508,52,22,,17,,,,,,,,2.0,,1.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,5.0,,,
2023W41,93.08,100.0,159,11,1998,19,3,,9,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,
2023W42,86.08,100.0,158,22,4077,39,18,,16,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,
2023W43,93.04,100.0,158,11,1811,18,7,,8,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,
2023W44,87.58,99.35,153,19,3712,28,15,,7,,,,1.0,,,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023W45,80.79,100.0,151,29,5639,42,18,,14,,,,,,,1.0,3.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023W46,77.12,100.0,153,35,7177,52,25,,14,,1.0,,,,,,2.0,,1.0,,,3.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,3.0
2023W47,86.08,100.0,158,22,4385,32,18,1.0,9,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2023W48,82.14,100.0,112,20,3836,28,12,,6,,,,,1.0,,3.0,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
