Period,OTP,Ctl OTP,TTL FLT,DLY FLT,Ctl DLY FLT,TTL PAX,DLY PAX,Ctl DLY PAX,DLY Cnt,AF,AT,RL,PB,PZ,TD,EZ,FT,PH,FZ,RA,RZ,DG,MX
00H,,,,,,,,,,,,,,,,,,,,,,,
01H,,,,,,,,,,,,,,,,,,,,,,,
02H,,,,,,,,,,,,,,,,,,,,,,,
03H,,,,,,,,,,,,,,,,,,,,,,,
04H,,,,,,,,,,,,,,,,,,,,,,,
05H,,,,,,,,,,,,,,,,,,,,,,,
06H,70.83,100.0,48.0,14.0,0.0,6615.0,1862.0,0.0,28.0,4.0,11.0,13.0,,,,,,,,,,,
07H,55.43,96.74,92.0,41.0,3.0,15344.0,6444.0,547.0,70.0,39.0,27.0,1.0,2.0,1.0,,,,,,,,,
08H,84.44,100.0,45.0,7.0,0.0,9904.0,1574.0,0.0,11.0,7.0,3.0,,,,1.0,,,,,,,,
09H,83.87,98.39,124.0,20.0,2.0,30104.0,4975.0,600.0,32.0,16.0,9.0,,1.0,,3.0,1.0,1.0,1.0,,,,,
10H,90.14,100.0,71.0,7.0,0.0,13694.0,1508.0,0.0,9.0,7.0,2.0,,,,,,,,,,,,
11H,92.42,100.0,66.0,5.0,0.0,10404.0,798.0,0.0,7.0,4.0,3.0,,,,,,,,,,,,
12H,97.59,100.0,83.0,2.0,0.0,12997.0,291.0,0.0,4.0,2.0,2.0,,,,,,,,,,,,
13H,,,,,,,,,,,,,,,,,,,,,,,
14H,84.81,100.0,79.0,12.0,0.0,12282.0,1885.0,0.0,26.0,4.0,9.0,,,,,,,,1.0,10.0,2.0,,
15H,86.84,100.0,76.0,10.0,0.0,11641.0,1711.0,0.0,17.0,5.0,6.0,1.0,,,,,,,,4.0,1.0,,
16H,,,,,,,,,,,,,,,,,,,,,,,
17H,93.55,100.0,31.0,2.0,0.0,4118.0,291.0,0.0,2.0,,,1.0,,,,,,,,,,1.0,
18H,,,,,,,,,,,,,,,,,,,,,,,
19H,,,,,,,,,,,,,,,,,,,,,,,
20H,,,,,,,,,,,,,,,,,,,,,,,
21H,,,,,,,,,,,,,,,,,,,,,,,
22H,,,,,,,,,,,,,,,,,,,,,,,
23H,86.84,100.0,38.0,5.0,0.0,8110.0,1194.0,0.0,8.0,4.0,3.0,,,,,,,,,,,,1.0
