Period,OTP,Ctl OTP,TTL FLT,DLY FLT,Ctl DLY FLT,TTL PAX,DLY PAX,Ctl DLY PAX,DLY Cnt,AF,AG,AT,AX,AZ,CD,FZ,GB,GF,MX,RA,RL,TC,TN,TZ,FL,PH,PL,PS,PW,RZ,DG,EZ,FR,PB,PZ,SG,WZ,AE,FF,GZ,WG,GD,TD,AM,AS,CI,DF,GT,PD,WO,FT
2023-01,79.45,98.81,506,104,6,82559,19939,1061,207,78,17.0,82,3.0,1.0,1.0,3.0,3.0,2.0,3.0,10,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02,76.33,98.62,507,120,7,82174,22070,1382,213,90,,72,,,,16.0,,2.0,1.0,17,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
2023-03,78.03,98.77,569,125,7,91296,22564,1682,226,96,,80,,,,3.0,3.0,1.0,3.0,18,1.0,2.0,1.0,5.0,,,,,,,1.0,1.0,1.0,2.0,1.0,6.0,1.0,,,,,,,,,,,,,,
2023-04,72.63,99.82,570,156,1,89737,26787,240,220,141,,59,,,,,,1.0,,16,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2023-05,78.87,98.7,691,146,9,103136,25845,1751,225,121,1.0,70,,1.0,,,1.0,4.0,,9,1.0,,1.0,2.0,,2.0,,1.0,,,,2.0,,,,,,1.0,1.0,2.0,5.0,,,,,,,,,,
2023-06,78.49,97.92,674,145,14,121813,28238,3260,251,115,3.0,75,,2.0,,3.0,4.0,5.0,,16,,,1.0,,,2.0,,,1.0,,,,,1.0,,20.0,1.0,,,,,1.0,1.0,,,,,,,,
2023-07,80.05,98.09,732,146,14,126401,27847,2922,247,98,,77,,,,6.0,6.0,5.0,,9,4.0,,,2.0,,2.0,,1.0,1.0,,,1.0,1.0,,,15.0,,,,,,,,14.0,4.0,1.0,,,,,
2023-08,88.92,99.58,722,80,3,125786,15631,723,136,52,,50,,,,1.0,1.0,1.0,1.0,8,2.0,,,1.0,,1.0,,,,1.0,,1.0,,,,5.0,,,,,6.0,,,,5.0,,,,,,
2023-09,89.62,99.56,684,71,3,111441,13044,556,118,57,,46,,,,,,,,1,2.0,,,,,1.0,,,,1.0,,3.0,,,2.0,1.0,,,,,,,1.0,,3.0,,,,,,
2023-10,88.46,99.29,702,81,5,118969,15225,1118,134,52,,51,,,,,1.0,,1.0,4,5.0,1.0,1.0,1.0,,,,,1.0,,1.0,3.0,,,,1.0,,,,1.0,,,,,2.0,,1.0,1.0,1.0,5.0,
2023-11,81.68,99.4,666,122,4,121397,24171,888,180,87,1.0,50,,1.0,,,1.0,,5.0,5,19.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,1.0,,,5.0,,1.0,,,,,,
2023-12,83.4,99.34,753,125,5,135213,22533,1147,214,92,,75,,,,1.0,,,1.0,14,16.0,,,,,1.0,,,,3.0,1.0,1.0,,3.0,1.0,,,,,,,,4.0,,,,,,,,1.0
